Name,Score,amount_n_correct,amount_n,amount_j,amount_j_correct
Participant37,107,69,69,38,38
Participant1,72,48,51,27,27
Participant2,103,68,69,38,37
Participant51,128,94,99,41,40
Participant3,101,66,67,36,36
Participant4,131,89,89,42,42
Participant5,58,37,37,21,21
Participant6,125,83,83,42,42
Participant52,146,104,106,46,45
Participant53,100,65,65,35,35
Participant54,74,46,46,28,28
Participant7,100,65,65,35,35
Participant8,124,84,85,41,41
Participant9,101,65,65,36,36
Participant10,91,62,64,39,35
Participant11,132,90,90,42,42
Participant12,86,54,54,32,32
Participant13,151,108,111,48,47
Participant14,101,68,70,37,36
Participant15,111,73,74,41,40
Participant16,78,48,48,30,30
Participant17,41,25,25,16,16
Participant18,103,66,66,39,38
Participant19,70,43,43,27,27
Participant21,95,60,60,35,35
Participant22,115,74,74,43,42
Participant23,94,64,66,34,33
Participant24,110,71,71,39,39
Participant20,89,62,66,31,31
Participant25,72,46,47,27,27
Participant27,75,52,56,29,28
Participant28,119,80,81,42,41
Participant26,100,65,65,35,35
Participant29,120,78,78,42,42
Participant30,94,60,60,34,34
Participant55,103,66,66,37,37
Participant56,112,73,74,40,40
Participant57,106,68,68,38,38
Participant31,88,58,59,35,33
Participant32,100,65,65,35,35
Participant58,92,60,61,33,33
Participant33,73,45,45,28,28
Participant34,104,72,75,41,38
Participant35,119,77,77,42,42
Participant36,120,78,78,42,42
Participant38,136,94,95,43,43
Participant59,116,75,75,41,41
Participant39,71,45,46,27,27
Participant40,143,98,98,45,45
Participant41,145,104,107,44,44
Participant42,-22,0,8,16,1
Participant43,134,91,91,45,44
Participant44,79,51,52,29,29
Participant45,67,42,42,25,25
Participant46,80,50,50,30,30
Participant47,128,86,86,42,42
Participant48,140,96,96,46,45
Participant49,96,61,61,35,35
Participant50,122,85,87,41,40
Participant60,127,85,85,42,42
Participant61,105,67,67,38,38
